model,topic_number,rank,word
LDA,1,1,credit
LDA,1,2,report
LDA,1,3,account
LDA,1,4,debt
LDA,1,5,information
LDA,1,6,dispute
LDA,1,7,collection
LDA,1,8,remove
LDA,1,9,file
LDA,1,10,letter
LDA,2,1,payment
LDA,2,2,loan
LDA,2,3,account
LDA,2,4,pay
LDA,2,5,bank
LDA,2,6,call
LDA,2,7,make
LDA,2,8,get
LDA,2,9,time
LDA,2,10,card
NMF,1,1,payment
NMF,1,2,pay
NMF,1,3,loan
NMF,1,4,call
NMF,1,5,make
NMF,1,6,bank
NMF,1,7,get
NMF,1,8,time
NMF,1,9,month
NMF,1,10,account
NMF,2,1,report
NMF,2,2,credit
NMF,2,3,account
NMF,2,4,remove
NMF,2,5,debt
NMF,2,6,dispute
NMF,2,7,information
NMF,2,8,collection
NMF,2,9,bureau
NMF,2,10,inquiry
