number_of_topics,lda_stability_mean,lda_stability_std,nmf_stability_mean,nmf_stability_std,combined_stability,combined_stability_std,combined_standard_error,lda_topic_diversity,nmf_topic_diversity,combined_topic_diversity,lda_perplexity_supporting_metric,nmf_reconstruction_error_supporting_metric,evaluation_seconds,comparable_to_best,passes_diversity_check,selected_solution
2,0.5811716616716617,0.057109453568149775,0.9815151515151515,0.015204452974911655,0.7813434065934066,0.03503669848500521,0.015668887903927106,0.9,0.95,0.925,816.3898882145807,96.31517964357637,71.08543419837952,True,True,True
3,0.5203263577381223,0.08707417914082892,0.967068302068302,0.021090853740348973,0.7436973299032122,0.03802924400678657,0.017007194946420248,0.7333333333333333,0.9666666666666667,0.85,787.0510926359677,95.91076580813984,65.9675886631012,False,True,False
4,0.4443883191971428,0.030499534944923426,0.9600458152958152,0.014613684348280281,0.702217067246479,0.014838924297625072,0.006636168688492596,0.65,0.975,0.8125,783.1311374971158,95.56058902618763,67.5929548740387,False,True,False
5,0.4592713241007359,0.042058784474830864,0.9512519480519479,0.014168211262777577,0.705261636076342,0.025317214688269377,0.011322202608785295,0.6,0.98,0.79,774.2347722268606,95.25606978833665,66.96133017539978,False,True,False
6,0.45324047887670177,0.04161974059780285,0.9569663299663299,0.0064598155525776736,0.7051034044215159,0.02034742891675853,0.009099646845043396,0.6,0.9166666666666666,0.7583333333333333,769.3105803733316,94.94999454094857,65.86974596977234,False,True,False
7,0.41196473944749046,0.05673857228407751,0.789062606099979,0.1453054611489449,0.6005136727737348,0.0669213301452965,0.02992812866991777,0.5714285714285714,0.9,0.7357142857142858,757.1150556314756,94.67194938603558,68.11531949043274,False,True,False
8,0.40684164216846097,0.03796548809621655,0.8354343850593849,0.15866349153091294,0.6211380136139231,0.08627989457816428,0.03858554187365817,0.5375,0.8625,0.7,759.1345660614076,94.44462444040691,71.82353925704956,False,True,False
9,0.39758177964679514,0.0234715680829435,0.8646937753604419,0.13188346799749076,0.6311377775036187,0.07122783997046407,0.031854058412886854,0.5,0.8666666666666667,0.6833333333333333,761.2686066765342,94.22917228490783,72.08942556381226,False,False,False
10,0.36392673889577914,0.03690747775921176,0.7994025918525919,0.07521117218727652,0.5816646653741855,0.037853512146988615,0.01692860526955611,0.5,0.85,0.675,764.652972923223,94.07111088777192,73.18363642692566,False,False,False
11,0.38214274172211127,0.017475352358302824,0.7885150808787172,0.0821898925220422,0.5853289113004142,0.047414440343479226,0.021204382344625603,0.5272727272727272,0.8363636363636363,0.6818181818181818,763.8266919039673,93.85398553710255,73.39764070510864,False,False,False
12,0.368732436981663,0.01968086360319374,0.8701714581714584,0.0912636948196418,0.6194519475765606,0.047856027086704445,0.021401865939788472,0.525,0.8416666666666667,0.6833333333333333,762.6629530567162,93.67829802042759,74.51987147331238,False,False,False
13,0.3615613845020847,0.02160152839513019,0.7204685694819061,0.0710251953830094,0.5410149769919954,0.0368291865537861,0.016470512938057385,0.5,0.8461538461538461,0.6730769230769231,766.1284045663402,93.49819212826057,77.06418228149414,False,False,False
14,0.35209396447819713,0.017749648245635213,0.6333127696545431,0.1024597404936028,0.4927033670663702,0.05842150027469441,0.026126889192347864,0.4714285714285714,0.8642857142857143,0.6678571428571429,766.875360763679,93.3336577600375,78.23237371444702,False,False,False
15,0.35793778236440776,0.02065998740564997,0.6806957928781456,0.16189842932216383,0.5193167876212768,0.08705489943398535,0.03893213458175984,0.47333333333333333,0.8666666666666667,0.67,771.5799689264499,93.16662012614049,79.01373481750488,False,False,False
16,0.3431917950792758,0.011769816063116605,0.7446397560772562,0.06553420643891264,0.543915775578266,0.030441633984201428,0.01361391258696843,0.475,0.85625,0.6656249999999999,774.5664590199615,92.99968779720035,77.74642634391785,False,False,False
17,0.34537152053515185,0.015686651839570007,0.7547771080070296,0.07403993819407148,0.5500743142710908,0.03689948380809082,0.016501950825908773,0.4823529411764706,0.8705882352941177,0.6764705882352942,776.7320722945891,92.83455279542751,79.83310127258301,False,False,False
18,0.35632864001801046,0.0162794593809527,0.7366106017210248,0.05852273933157726,0.5464696208695177,0.030529364215410998,0.013653146739101705,0.46111111111111114,0.85,0.6555555555555556,782.3520904215978,92.70036261881359,82.38115167617798,False,False,False
19,0.34751913198238765,0.02194494395008969,0.7669845200786214,0.02044797765140929,0.5572518260305045,0.015108668647964289,0.0067568020292735976,0.4473684210526316,0.8210526315789474,0.6342105263157894,785.1759348695092,92.53413684032904,83.43295502662659,False,False,False
20,0.3604927178600553,0.012265964513104464,0.7285011854330741,0.08881307726965924,0.5444969516465646,0.041753751610350984,0.018672845383277223,0.435,0.84,0.6375,785.9173961677511,92.41484349311322,84.35664105415344,False,False,False
