term,mean_tfidf
credit,0.050268323695980284
report,0.04824751126327534
account,0.047392272096467916
payment,0.033205365578126964
pay,0.03173117874456354
debt,0.03071144330783474
loan,0.02817714019021035
information,0.027076256662699808
time,0.026362795205949197
send,0.026209706195083265
call,0.025793821690079415
get,0.02481796690633886
make,0.02440675222130834
remove,0.023543472680831144
bank,0.023296460182956048
dispute,0.023046952398524983
never,0.022665498409744186
card,0.022400457867485447
letter,0.02205934521582025
collection,0.02174557264339456
